Completion,Score
"This patient's symptoms are suggestive of scalp psoriasis, a common form of psoriasis that affects the scalp. Management typically involves medicated shampoos, topical corticosteroids, and vitamin D analogues. More severe cases may benefit from systemic therapies or phototherapy.",20.0
"The described MRI findings are suggestive of a cerebral cysticercosis, which is a parasitic infection caused by the larvae of the pork tapeworm (Taenia solium). This condition can present with seizures when the cysts are located in the brain. However, other conditions such as brain abscess or tumors could theoretically present similarly. Serological testing and a careful travel and exposure history could help confirm the diagnosis.",50.0
"The patient's new pattern of brief, recurrent, stabbing headaches could indicate a condition called primary stabbing headache, also known as ""ice pick"" headache. While primary stabbing headaches can occur in people with no other headache disorders, they more commonly occur in people with a background of another primary headache disorder, such as migraines in this case.",20.0
"In a patient presenting with weight loss and night sweats, with CT findings of multiple enlarged lymph nodes in the chest, conditions such as lymphoma, sarcoidosis, or infection (like tuberculosis) should be considered. The next step should be a biopsy of one of the lymph nodes to confirm the diagnosis.",80.0
"This patient's symptoms and physical examination findings, in the context of her history of hyperthyroidism, suggest she may have developed atrial fibrillation leading to tachycardia-induced cardiomyopathy and heart failure. The next steps would include an ECG to confirm atrial fibrillation, an echocardiogram to assess the structure and function of her heart, and thyroid function tests. Treatment would involve managing her heart failure, controlling her heart rate, and managing her thyroid condition.",80.0
"Cognitive symptoms, including memory problems and difficulty concentrating, can occur in Multiple Sclerosis due to the involvement of brain lesions in areas that affect cognition. Neuropsychological testing can help to assess the extent of cognitive issues. Cognitive rehabilitation therapy, medication, and strategies for compensation might be part of the treatment approach.",60.0
"This patient may be experiencing REM sleep behavior disorder (RBD), a condition often associated with Parkinson's disease, where the patient physically acts out vivid dreams during REM sleep. The management of RBD often includes safety measures to prevent injury and might require the use of certain medications such as clonazepam. It's also worth mentioning these symptoms to the patient's neurologist, as they can sometimes precede worsening of Parkinson's symptoms.",60.0
"While this presentation could be consistent with a gout attack in the wrist, differential diagnoses should include other forms of inflammatory arthritis, infection, or even a fracture if there was any unwitnessed trauma. The next steps should include blood tests for uric acid and inflammatory markers, imaging such as an X-ray of the wrist to rule out fracture, and potentially aspiration of the wrist joint if there is concern for septic arthritis.",60.0
"This patient's history of trauma, altered mental status, and scalp laceration suggest a significant head injury, possibly involving traumatic brain injury or skull fracture. A non-contrast CT scan of the head should be ordered immediately to assess for these injuries. The patient's scalp laceration will also need to be cleaned and sutured, and tetanus prophylaxis should be considered.",80.0
"This patient's skin findings could be suggestive of eruptive xanthomas, which are skin lesions caused by the deposition of lipids in the skin and are often associated with high levels of blood lipids. Women with PCOS are at higher risk for dyslipidemia due to insulin resistance. The next step would be to confirm this diagnosis with a lipid panel blood test. If her lipid levels are indeed high, lifestyle modifications and potentially lipid-lowering medications would be recommended.",60.0
"Neuromuscular scoliosis, such as in this patient with cerebral palsy, often progresses even after skeletal maturity. Bracing can sometimes be used for symptomatic relief, but it usually does not stop curve progression in neuromuscular scoliosis. For a curve of 45 degrees that is worsening, surgical intervention may be the best option to prevent further progression and address any associated symptoms.",80.0
"This patient's episodes of palpitations followed by syncope could suggest a paroxysmal supraventricular tachycardia (PSVT), ventricular tachycardia, or potentially an arrhythmia like Long QT syndrome or Brugada syndrome. An ECG should be performed, and if normal, a 24-hour Holter monitor should be considered to capture the transient episodes of arrhythmia. A consultation with a cardiologist would be beneficial.",60.0
"Turmeric, due to its anti-inflammatory effects, could be suggested as an adjunct to her current treatment regimen. Curcumin can potentially reduce inflammation and joint pain, although it's not a substitute for standard rheumatoid arthritis treatments.",20.0
"The symptoms of fatigue, cold intolerance, constipation, weight gain, depression, and dry skin are suggestive of hypothyroidism. Other potential causes could include other endocrine disorders, depression, or chronic fatigue syndrome. The next step would be to order a thyroid function test, including serum thyroid-stimulating hormone (TSH) and free thyroxine (T4) levels, to confirm the diagnosis.",60.0
"It's possible that the patient is experiencing wearing-off phenomena, where symptoms return as the effect of levodopa wears off before the next dose. The nausea could be a side effect of the levodopa. His medication regimen might need adjustment, such as more frequent dosing, adding a COMT inhibitor or an MAO-B inhibitor to prolong the effect of levodopa, or using a drug to control nausea. A referral to his neurologist for a detailed review is recommended.",60.0
"Vitiligo is considered an autoimmune disease, where the immune system attacks the body's own cells. In the case of vitiligo, the immune system mistakenly targets and destroys melanocytes, which are the cells in the skin that produce melanin, the pigment that gives skin its color. The exact reason why this occurs is not entirely clear, but it's likely a combination of genetic factors and environmental triggers.",20.0
"This patient's low back pain and history of fractures from minor injuries could be indicative of osteoporosis, a condition characterized by decreased bone density. One factor that can contribute to osteoporosis is Vitamin D deficiency, as it plays a crucial role in calcium absorption. Therefore, checking his Vitamin D levels and considering supplementation, along with calcium and possibly osteoporosis-specific medication, could be beneficial.",60.0
"While this woman has a history of asthma, her chronic cough and progressively worsening shortness of breath that is not responsive to her usual asthma medications raise the concern for other diagnoses. Other potential causes could include chronic obstructive pulmonary disease (COPD), despite her lack of smoking history, interstitial lung disease, or even a cardiac cause like heart failure. The next steps would include a detailed physical examination, spirometry with bronchodilator testing, chest imaging (like a chest X-ray or CT scan), and possibly referral to a pulmonologist for further evaluation.",60.0
"The patient's presentation suggests a lateral collateral ligament (LCL) injury. An MRI would be helpful to confirm the diagnosis and to assess the extent of the injury. Treatment for an LCL injury varies depending on the severity of the injury. Mild to moderate sprains might be managed conservatively with rest, ice, compression, elevation (RICE protocol), and physical therapy. More severe injuries or those that cause significant knee instability may require surgical repair.",60.0
"This presentation is consistent with a peritonsillar abscess, a complication of tonsillitis where a pus-filled pocket forms near the tonsil. This condition requires urgent treatment. The next steps would include urgent ENT consultation for potential drainage of the abscess and antibiotic therapy to cover the common pathogens involved, typically Group A Streptococcus and anaerobes.",80.0
"These symptoms suggest that the player may have suffered a concussion. He should be immediately removed from the game to prevent a potential second impact, which could be very dangerous. On-site evaluation with a tool like the SCAT5 is recommended. If a concussion is suspected, the player should be referred to a healthcare professional for further evaluation and should not return to play the same day.",80.0
"This patient's symptoms and laboratory findings suggest macrocytic anemia, likely due to folate deficiency, which can occur in chronic alcoholism. The next step is to confirm the diagnosis with serum folate levels. Treatment typically involves folate supplementation and addressing the alcoholism, which is the underlying cause.",20.0
"Given her smoking history, the symptoms of persistent cough, shortness of breath, and fatigue are concerning for possible chronic obstructive pulmonary disease (COPD) or lung cancer. The hot flashes and night sweats might be related to menopause, but it's important to rule out systemic conditions such as lymphoma or tuberculosis. The next steps would be to order a chest X-ray or possibly a CT scan to evaluate her lungs, as well as pulmonary function tests to assess for COPD. Blood tests, including complete blood count and metabolic panel, could provide additional information. If the night sweats and hot flashes are determined to be menopausal, they could be managed separately.",60.0
"The symptoms this patient is experiencing might suggest hypothyroidism, potentially Hashimoto's thyroiditis given her family history of autoimmune diseases. Research has suggested a link between Vitamin D deficiency and autoimmune thyroid diseases. Even though Vitamin D deficiency might not be the primary cause of her symptoms, it could potentially exacerbate them or increase the risk of developing autoimmune conditions. Thus, checking her Vitamin D levels and considering supplementation might be beneficial, along with evaluating her thyroid function.",50.0
"Dog bite wounds carry a high risk of infection due to the bacteria present in the dog's mouth. Initial management would include thorough cleaning and irrigation of the wound, along with applying a clean dressing. The wound should generally be left open to heal by secondary intention given the high risk of infection. She should be started on prophylactic antibiotics, typically amoxicillin-clavulanate to cover for common organisms including Pasteurella. Her tetanus vaccination status should be reviewed and updated if needed.",80.0
"For individuals with recurrent tonsillitis, tonsillectomy (surgical removal of the tonsils) may be considered, particularly if the recurrences significantly affect their quality of life, or if the episodes are frequent (generally more than 5-7 episodes per year), severe, and appropriately documented. The risks and benefits of the procedure, including the potential for improved throat health, reduction in antibiotic use, and the risks of anesthesia and surgery, should be discussed with the patient.",50.0
"This patient's symptoms and physical examination findings suggest benign prostatic hyperplasia (BPH), a common cause of lower urinary tract symptoms in older men due to the enlargement of the prostate gland. Other potential causes could include prostatitis, prostate cancer, or bladder dysfunction. The next steps would involve a prostate-specific antigen (PSA) test to screen for prostate cancer and urinalysis to rule out infection. If BPH is suspected, medical management with medications such as alpha-blockers or 5-alpha reductase inhibitors can be considered.",20.0
"While these symptoms might initially suggest PCOS, the absence of polycystic ovaries on ultrasound suggests a different diagnosis. This could be a condition known as idiopathic hirsutism. This is a condition characterized by excessive hair growth in women without a detectable hormonal imbalance. It could also be late-onset congenital adrenal hyperplasia, an inherited condition affecting the adrenal glands and hormone production. A detailed hormonal study including a 17-hydroxyprogesterone level would be necessary to confirm the diagnosis.",20.0
"This patient's symptoms and physical findings are suggestive of aortic dissection, which is a medical emergency and can coexist or be confused with coronary heart disease due to similar risk factors. This condition occurs when there's a tear in the inner layer of the aorta. Immediate imaging studies such as CT angiography or MRI of the aorta are warranted to confirm the diagnosis, and he should be managed in a setting equipped to deal with vascular emergencies.",80.0
"This patient's history of menstrual irregularities, weight gain, acne, and hirsutism is suggestive of Polycystic Ovary Syndrome (PCOS). PCOS is a hormonal disorder common among women of reproductive age and can lead to issues with fertility. Next steps would be to perform blood tests to check for increased androgen levels, which can cause symptoms like acne and hirsutism. Additionally, an ultrasound may be performed to look for enlarged ovaries with multiple small follicles.",60.0
"Given this patient's age, smoking history, and weight loss, there is a concern for malignancy, such as lung cancer metastasized to the spine. Other possibilities include osteoporotic compression fracture or infection. The next steps would involve laboratory tests to check for signs of infection or other systemic disease, and imaging (likely an MRI) to evaluate the spine.",60.0
"The symptoms of sore throat, fever, fatigue, loss of appetite, rash, and tonsillar exudates are suggestive of infectious mononucleosis, which is most commonly caused by the Epstein-Barr virus. A monospot test would be the next step to help confirm the diagnosis. Treatment for mononucleosis is typically supportive, including rest, hydration, and over-the-counter remedies for pain and fever.",20.0
"The symptoms and findings suggest Scarlet Fever, which is a condition caused by toxin-producing strains of the bacteria that cause strep throat (Group A Streptococcus). Scarlet fever presents with a red, sandpaper-like rash, strawberry tongue, and often, tonsillitis. The treatment would involve a course of antibiotics, such as penicillin or amoxicillin, to eliminate the bacteria.",20.0
"Women with PCOS are at a higher risk for hypertension due to associated obesity and insulin resistance. The first step in managing her high blood pressure would be lifestyle modifications, including a healthy diet (like the DASH diet), regular exercise, weight loss if she's overweight, limitation of alcohol, and cessation of smoking if applicable. If her blood pressure remains high despite these changes, she may require antihypertensive medication.",60.0
"Symptoms of unintentional weight loss and night sweats, along with an elevated ESR, may suggest a systemic condition such as infection (like tuberculosis), inflammation (as in autoimmune disorders), or malignancy (like lymphoma). While ESR is a nonspecific test, its elevation indicates some form of ongoing inflammatory process. A comprehensive workup should be performed including a thorough physical examination, chest X-ray, TB test, possibly a CT scan, and more specific autoimmune and oncologic investigations depending on the clinical suspicion.",60.0
"This patient's symptoms suggest menstrual migraines, which are migraines that occur in the days before, during, or after menstruation and are believed to be triggered by the drop in estrogen levels that occurs at that time. Treatment strategies may include short-term prevention with NSAIDs or triptans, taken in the days surrounding menstruation, or if migraines occur at other times during the cycle as well, daily preventive medications might be indicated. As with all migraines, avoidance of known triggers and maintenance of a healthy lifestyle are also important.",20.0
"In women with Type 1 Diabetes, achieving good glycemic control before and during pregnancy is vital to minimize the risk of complications such as congenital anomalies, preeclampsia, and progression of diabetic complications. Although her current glycemic control is good, maintaining it during pregnancy can be challenging due to hormonal changes that increase insulin resistance. She should be educated about these risks and the need for close monitoring during pregnancy. Preconception counseling with a focus on achieving optimal glycemic control, the need for folic acid supplementation, and the potential need to adjust her insulin regimen during pregnancy should be initiated.",60.0
"The baby likely has oral thrush (oropharyngeal candidiasis), which is a common yeast infection in infants. Even though he's feeding normally, treatment is usually recommended to prevent spread of the infection. A common treatment is a topical antifungal medication, such as nystatin oral suspension.",20.0
"The symptoms described, particularly the presence of a thick yellowish discharge in a child, are suggestive of bacterial conjunctivitis. The most common pathogens in this age group are Streptococcus pneumoniae, Haemophilus influenzae, and Moraxella catarrhalis. The child should be treated with antibiotic eye drops and kept out of school until he has received 24 hours of treatment to prevent spreading the infection.",20.0
"Chronic headaches, particularly tension-type headaches and migraines, are more common in people with fibromyalgia. The exact reason is unclear, but it might be due to shared mechanisms such as central sensitization, where the nervous system gets stuck in a state of heightened reactivity causing amplified pain signals. Additionally, the stress and sleep disturbances common in fibromyalgia might contribute to the development or exacerbation of headaches.",60.0
"This patient's prolonged cough and worsening asthma symptoms suggest the presence of chronic bronchitis. Chronic bronchitis is common in people with pre-existing respiratory conditions like asthma. The diagnosis can be confirmed with pulmonary function testing. The treatment plan should include measures to control her asthma, such as inhaled corticosteroids and long-acting bronchodilators, in addition to any treatments specifically for the bronchitis.",60.0
"The infant's presentation is suggestive of Hirschsprung disease, a congenital disorder characterized by the absence of nerve cells (ganglion cells) in the muscles of the colon. The next steps would include confirmatory testing such as a contrast enema, which can often show a transition zone between normal and affected bowel. A definitive diagnosis, however, would be made with rectal biopsy showing the absence of ganglion cells. Management would ultimately involve surgical resection of the affected part of the colon.",80.0
"This teenager's academic struggles, along with inattention, hyperactivity, and impulsivity, suggest the possibility of Attention Deficit Hyperactivity Disorder (ADHD), Predominantly Hyperactive-Impulsive Presentation. An assessment involving detailed history, parent and teacher input, and observation would be necessary to establish the diagnosis.",20.0
"This patient is likely experiencing an anaphylactic reaction, which is a medical emergency. Immediate administration of epinephrine is needed, typically through an autoinjector (EpiPen) if available. After the epinephrine is administered, the patient needs immediate medical attention. She should be transported to the emergency department even if symptoms improve with the initial epinephrine administration.",100.0
"This patient may be experiencing hypoglycemia due to her diabetes medications. The first step should be to review her symptoms in detail and check blood glucose levels during symptomatic episodes if possible, to confirm that these episodes are indeed hypoglycemia. Her medication regimen should be reviewed, as glipizide, a sulfonylurea, can cause hypoglycemia. It may be necessary to adjust the dose of her medications or consider alternative medications.",60.0
"This patient's symptoms could be indicative of tuberculosis reactivation, especially considering her known history of TB. Other possible diagnoses could be bacterial pneumonia, viral infection, or other lung diseases. The next steps would be to perform a chest X-ray to look for any changes from her previous films, and obtain sputum samples for acid-fast bacilli smear and culture. If tuberculosis reactivation is confirmed, she would require retreatment with anti-tuberculosis therapy, potentially with different agents depending on drug susceptibility testing results, due to concerns about drug-resistant tuberculosis.",60.0
"This patient's symptoms, along with the esophageal web, suggest Plummer-Vinson syndrome, which is associated with iron deficiency anemia. The patient should have a CBC and iron studies to confirm the diagnosis. Treatment includes iron supplementation and potentially dilation of the esophageal web if it continues to cause significant dysphagia.",20.0
"This patient's symptoms suggest a mood disorder, potentially major depressive disorder (MDD). Women with PCOS are at a higher risk of developing depressive and anxiety disorders due to the hormonal imbalances and related symptoms such as weight gain and hirsutism. The next steps would be to conduct a thorough mental health evaluation, potentially including a validated screening tool like the Patient Health Questionnaire-9 (PHQ-9). If the diagnosis of MDD is confirmed, treatment may involve psychotherapy, medication, or both.",60.0
"This patient's symptoms are suggestive of ankylosing spondylitis, a type of inflammatory arthritis that primarily affects the spine. The next steps should involve blood tests including HLA-B27 antigen and inflammatory markers like CRP or ESR, as well as imaging studies such as X-ray or MRI of the spine. Management typically includes NSAIDs, physical therapy, and possibly disease-modifying antirheumatic drugs (DMARDs) or biologics.",20.0
"An abdominal aortic aneurysm (AAA) is a likely diagnosis for this patient. AAAs are often asymptomatic until they leak or rupture, which can present with sudden, severe abdominal and back pain. An aorta diameter of 4 cm on ultrasound is consistent with this diagnosis, as aneurysms are generally defined as aortic diameters over 3 cm. This is a medical emergency that needs immediate surgical intervention.",80.0
"The new onset of back pain that improves with activity and morning stiffness in a patient with Ulcerative Colitis could suggest ankylosing spondylitis, a type of inflammatory arthritis affecting the spine. This condition is more common in patients with IBD. He should be referred to rheumatology for further evaluation and management, which typically includes physical therapy and potentially immunosuppressive medication.",60.0
"The painless ulcers this patient is describing are suggestive of primary syphilis, caused by the bacterium Treponema pallidum. However, other STIs such as herpes could present similarly, although herpes sores are typically painful. A dark-field microscopy examination of a sample from the ulcer could confirm the diagnosis of syphilis. If positive, he should be treated with penicillin, and his sexual partners should be informed, tested, and treated if necessary.",60.0
"Several non-pharmacological treatments can help manage fibromyalgia symptoms. These include cognitive-behavioral therapies, which can help patients develop coping strategies for chronic pain, and regular physical activity, which can reduce pain and improve function. Other options include mindfulness-based stress reduction, yoga, tai chi, acupuncture, and massage therapy. Each patient is unique, and the best approach usually involves a combination of therapies tailored to the patient's individual symptoms and preferences.",0.0
"The combination of physical findings and behavioral cues raises concerns about possible child abuse. Next steps include a thorough physical exam and potentially imaging to assess for unseen injuries. Consultation with Child Protective Services and possible law enforcement involvement are critical, as the primary goal is ensuring the child's immediate safety.",80.0
"These symptoms and findings suggest the possibility of a traumatic brain injury, such as concussion, skull fracture, or intracranial hemorrhage. Immediate steps should include stabilizing the patient and obtaining a non-contrast head CT scan to assess for skull fracture, brain hemorrhage, or cerebral contusion. The patient should also be closely monitored for any changes in consciousness, which could indicate increasing intracranial pressure.",80.0
"This patient's history of intravenous drug use, combined with symptoms of fatigue and mild right upper quadrant pain, raises suspicion for hepatitis C, which is commonly transmitted through sharing needles. The next step would be to perform a hepatitis C antibody test. If positive, an HCV RNA test should be performed to confirm current infection.",20.0
"This is a presentation consistent with a penile fracture, which often happens when an erect penis is forcibly bent. Immediate urology consultation is required, and surgical repair is usually indicated to prevent complications such as erectile dysfunction or penile curvature.",80.0
"While these symptoms could be related to a common cold, the additional symptoms of difficulty swallowing and a sensation of a lump in the throat (globus sensation) could suggest another condition, such as a throat infection, tonsillitis, or even a thyroid or esophageal disorder. She should be further evaluated, which might involve a throat swab, thyroid function tests, or potentially an endoscopy.",60.0
"While this patient has a known diagnosis of IBS-C, the new symptom of rectal bleeding is concerning and should not be attributed to IBS. Possible causes could include hemorrhoids, anal fissures, colonic polyps, or colorectal cancer. A thorough examination, including a digital rectal examination and potentially repeat colonoscopy, is indicated to investigate the cause of bleeding.",80.0
This patient's presentation suggests a diagnosis of tenofovir-induced renal tubular dysfunction leading to hypophosphatemic osteomalacia. Tenofovir can cause proximal tubular damage resulting in phosphate wasting. The next step should include further evaluation of kidney function and possibly a switch to a different antiviral medication.,60.0
This patient's history of epigastric pain that improves with meals and worsens afterward is suggestive of a duodenal ulcer. His regular use of non-steroidal anti-inflammatory drugs (NSAIDs) like ibuprofen is a risk factor. The next steps would be to confirm the diagnosis through an upper gastrointestinal endoscopy and consider discontinuing ibuprofen if possible. Alternative pain management strategies and a proton pump inhibitor (PPI) for ulcer healing could be discussed.,60.0
"This patient's symptoms, particularly the seasonality and associated symptoms of sneezing and itchy, watery eyes, suggest allergic rhinitis, which is leading to recurrent episodes of sinusitis. The next step would be to confirm the diagnosis, which might involve allergy testing. Treatment would likely involve managing the allergies with antihistamines, nasal corticosteroid sprays, or allergy shots, along with symptomatic treatment for sinusitis episodes.",60.0
"The patient is likely experiencing sciatica, possibly aggravated by prolonged sitting, which can put pressure on the sciatic nerve. She should be advised to take regular breaks from sitting, practice good posture, and engage in physical activities that can strengthen her back and core muscles. Over-the-counter pain relievers may also be beneficial. If symptoms persist, she may need further diagnostic tests and potentially physiotherapy or other interventions.",60.0
"Given his history of heavy smoking, this patient's symptoms and physical examination findings suggest chronic obstructive pulmonary disease (COPD), which has led to cor pulmonale, a type of right-sided heart failure. The next steps would include spirometry to confirm the diagnosis of COPD, an echocardiogram to evaluate for right ventricular hypertrophy, and treatment for both COPD and heart failure, which may include bronchodilators, steroids, oxygen therapy, and diuretics.",80.0
"This patient's low sodium level indicates hyponatremia, which can cause symptoms like lethargy and confusion. It can be due to a variety of conditions, including heart failure, liver cirrhosis, kidney disease, SIADH, or excessive water intake. Further assessment of the patient's fluid status, urine electrolytes, and assessment of the patient's medications (such as diuretics, antidepressants) would be helpful in determining the cause and appropriate treatment.",30.0
"While this patient has rheumatoid arthritis, her current presentation is more suggestive of an acute gout attack, characterized by severe joint pain, redness, and swelling, often involving the big toe. This could be confirmed by joint fluid analysis showing monosodium urate crystals. Initial management typically involves NSAIDs, corticosteroids, or colchicine to reduce inflammation and pain. If gout is confirmed, long-term management might involve lifestyle modifications and medications like allopurinol to prevent future attacks.",80.0
"This patient's symptoms suggest Paroxysmal Nocturnal Dyspnea (PND), which can occur in conditions like heart failure. PND can be mistaken for sleep apnea due to similar nocturnal symptoms. Management would focus on treating the underlying heart failure - optimizing diuretic therapy, managing fluid balance, and adjusting other heart failure medications as needed. A consultation with a cardiologist may also be helpful.",60.0
"This patient's ongoing symptoms despite previous treatment for Lyme disease suggest post-treatment Lyme disease syndrome (PTLDS). This syndrome is characterized by persistent symptoms such as fatigue, musculoskeletal pain, and cognitive difficulties, which can last for more than six months after completion of antibiotic therapy. Currently, there are no proven treatments for PTLDS, but managing symptoms with physical therapy, pain management, cognitive rehabilitation, and other supportive measures is often beneficial.",60.0
"The patient's symptoms and recent history suggest the possibility of Lyme disease, which is often signaled by a bull's-eye rash (erythema migrans) and is commonly contracted from ticks in wooded areas. The next steps should include further questioning about other symptoms such as fever, fatigue, or joint pains. If Lyme disease is suspected, lab tests such as ELISA and Western blot can be ordered to confirm the diagnosis. If Lyme disease is confirmed, treatment is typically with a course of antibiotics.",50.0
"This patient's history of COPD, along with his symptoms and physical findings, suggest a severe exacerbation of COPD or possibly pneumonia. Immediate actions include providing supplemental oxygen, starting bronchodilators and corticosteroids, and obtaining a chest X-ray and sputum culture. Given his severe presentation, he may require hospitalization or even ICU admission if respiratory failure is suspected.",80.0
"This patient has varicose veins, but it appears her primary concern is cosmetic. Although conservative measures such as exercise, weight loss, and compression stockings may improve symptoms if they arise in the future, they are unlikely to improve the appearance significantly. She may consider cosmetic treatments such as sclerotherapy, endovenous laser ablation, or radiofrequency ablation. These procedures aim to close off the affected veins, causing them to gradually fade, but potential risks and benefits should be discussed with the patient.",20.0
"This patient's symptoms of chronic widespread pain, fatigue, and unrefreshing sleep are suggestive of fibromyalgia. Fibromyalgia is often diagnosed based on criteria which include chronic widespread pain along with associated symptoms like fatigue, sleep disturbance, cognitive issues, and a high number of tender points on physical examination. Further investigation may be needed to rule out other conditions with similar symptoms, and to support the diagnosis of fibromyalgia.",50.0
"This patient's symptoms along with the finding of nasal polyps are suggestive of chronic sinusitis with nasal polyps. The presence of polyps can lead to ongoing inflammation and poor sinus drainage, which contributes to symptoms. The next step would be to confirm the diagnosis, potentially with a CT scan of the sinuses. Treatment would likely include a trial of intranasal corticosteroids to reduce inflammation, and if symptoms persist, referral to an otolaryngologist for further management, which may include surgery.",60.0
"This patient's symptoms of palpitations, tremors, weight loss despite an increased appetite, frequent bowel movements, an enlarged thyroid gland, and hand tremor strongly suggest hyperthyroidism, likely due to Graves' disease. Laboratory tests should be ordered to measure TSH, free T4, and free T3 levels. If these suggest hyperthyroidism, additional tests such as the TSI or thyroid scan and/or ultrasound can help confirm the cause.",80.0
"Constipation is a common symptom in Multiple Sclerosis due to slowed transit in the digestive tract. Initial management includes lifestyle modifications such as increasing fiber and fluid intake, regular exercise, and establishing a regular bowel regimen. If these measures are not effective, then over-the-counter remedies like stool softeners or laxatives may be used. In refractory cases, a referral to a gastroenterologist may be necessary.",20.0
"This patient's recurrent episodes of sinusitis-like symptoms suggest chronic recurrent sinusitis. This condition might be caused by an underlying issue like allergies, nasal polyps, a deviated septum, or immune system disorder. Management should start with identifying any underlying cause. Depending on the findings, treatment might include long-term use of nasal corticosteroid sprays, saline nasal irrigation, allergy treatment, or even surgery in severe cases.",60.0
"This patient's symptoms suggest psoriatic nail disease, which is common in patients with psoriasis. Changes may include pitting (small dents or depressions on the nail surface), onycholysis (separation of the nail from the nail bed), and discoloration. Topical treatments are usually the first line of treatment, but more severe cases may require intralesional corticosteroid injections or systemic treatment, especially if associated with psoriatic arthritis.",50.0
"The patient's symptoms along with the presence of pyuria (pus in the urine) on urinalysis suggest a urinary tract infection (UTI), most likely cystitis (bladder infection). The initial treatment should include empiric antibiotic therapy, typically a short course of nitrofurantoin or trimethoprim-sulfamethoxazole, pending culture results.",20.0
"The patient's symptoms of low energy, mood changes, decreased libido, along with erectile dysfunction, could indicate low testosterone levels, also known as hypogonadism. A serum testosterone level should be checked to evaluate this possibility.",60.0
"These symptoms are consistent with erythematotelangiectatic rosacea, a subtype of rosacea characterized by facial redness and visible blood vessels. The intermittent flushing is a common feature. Initial management should include trigger avoidance, sun protection, and topical treatments such as brimonidine for the redness and potential laser or light therapy for the visible blood vessels.",20.0
"This patient seems to have papulopustular rosacea that is not responding to the topical antibiotic. She might benefit from oral antibiotics like doxycycline or isotretinoin for more severe cases. The treatment plan should also emphasize the importance of identifying and avoiding triggers, such as certain foods, alcohol, stress, and hot or windy weather.",60.0
"This is a medical emergency. Initial management should include controlling the bleeding with direct pressure and potentially a tourniquet if direct pressure is insufficient. The man should be taken immediately to an emergency department for wound evaluation and management. In the ED, the wound would be cleaned, debris removed, and likely irrigated. The depth and extent of the wound need to be evaluated, including potential damage to underlying structures like nerves and blood vessels. Depending on the wound's severity, surgical consultation may be necessary. The patient's tetanus status should also be updated.",
"Given the mechanism of injury and physical examination findings, this patient likely has a lateral ankle sprain, which involves damage to the ligaments on the outer side of the ankle. The next step should include rest, ice, compression, and elevation (RICE) to help reduce pain and swelling. Over-the-counter pain relievers may also be helpful. If the pain and swelling don't improve after a few days or if the patient cannot bear weight on the ankle, imaging studies like an X-ray or MRI may be needed to rule out fractures and assess the extent of ligament damage.",20.0
"This patient's elevated neutrophil count (neutrophilia) suggests an acute inflammatory state, such as infection or a flare of his rheumatoid arthritis. Given his new symptom of shortness of breath, a respiratory infection such as pneumonia should be considered. The next step would be to further investigate his respiratory symptoms with a chest X-ray and possibly sputum culture. If an infection is confirmed, appropriate antibiotics should be initiated.",60.0
"This patient's symptoms suggest ocular rosacea, a condition that can occur in people with rosacea and can cause redness, burning, and irritation in the eyes. Initial management should include eyelid hygiene measures and artificial tears for symptomatic relief. In more severe cases, oral antibiotics or topical cyclosporine may be required.",20.0
"Given the history and examination, this could be a nondisplaced nasal fracture. Even though there is no visible deformity, the tenderness suggests a possible fracture. Imaging studies, like facial X-rays or a CT scan, can be performed to confirm the diagnosis. Depending on the results, conservative management including pain control and monitoring for any breathing difficulties or signs of complications would be recommended.",20.0
"This patient's symptoms suggest a possible complication of sinusitis known as orbital cellulitis, which is an infection that has spread to the tissues around the eye. This is a serious condition that can lead to vision loss and even life-threatening complications like meningitis or a brain abscess. Immediate referral to the emergency department is warranted. IV antibiotics will likely be started, and imaging such as a CT or MRI of the orbits and sinuses will be done. Depending on the severity, surgical intervention may be necessary.",80.0
"This patient's symptoms suggest that she is experiencing an acute asthma exacerbation, often referred to as an asthma attack. When a patient with known asthma presents with worsening symptoms unresponsive to their usual rescue medication, this is a medical emergency. The immediate next steps would involve administering high-flow oxygen to improve her oxygen saturation, repeated administration of a rapid-acting bronchodilator (like albuterol) through a nebulizer, and likely systemic corticosteroids to reduce inflammation in the airways.",80.0
"The symptoms suggest iron deficiency anemia. Drinking excessive amounts of cow's milk can lead to iron deficiency in toddlers by interfering with iron absorption and displacing iron-rich foods. Initial tests should include a CBC and reticulocyte count, followed by iron studies if anemia is confirmed. Management would involve dietary changes to limit cow's milk intake, increase intake of iron-rich foods, and iron supplementation.",20.0
"This patient's symptoms suggest HIV-associated periodontal diseases, which could include linear gingival erythema or necrotizing periodontal diseases. These conditions are more common and can be more severe in patients with HIV due to their immunocompromised state. The next steps would involve careful oral hygiene instructions, professional dental cleanings, and possibly antiviral therapy or antibiotics. Collaboration with the patient's medical provider for optimal HIV control is also important.",80.0
"These symptoms suggest the possibility of inverse psoriasis, a form of psoriasis that typically affects skin folds and presents with red, inflamed patches rather than the classic scales. Management usually involves topical corticosteroids and avoidance of skin irritation and friction. In severe or unresponsive cases, systemic or biologic therapies may be needed.",20.0
"The primary management for corneal abrasions involves pain control, prevention of infection, and facilitating healing. Antibiotic eye drops or ointment can be prescribed to prevent infection. Cycloplegic drops can be used to alleviate ciliary spasm and provide pain relief. The patient should be advised to avoid rubbing her eye and return immediately if symptoms worsen or do not improve in 24-48 hours.",20.0
